 resource ,category,url,address,contactinfo,contactn1,contactp1,contacte1,contactn2,contactp2,contacte2,servicecapacity,serveshivonly,servemengt18,servesinglewomengt18,servefamilies,mustentersober,musthaveid,musthavebirthcertificate,musthavesscard,musthaveviableincome,acceptssexoffenders,requiresentityreferral,residencyrequirement,othereligibilityreq,whichcounty,involvedwithcoc,refereallsources,agencyservices,programservices,congregatestyle,sensitivetotransgender,programlength,servesvetsonly,doesservefamilies,cocmember,topreasonrejected,programtype,servicecap2,agesserved,acceptmales,acceptfemales,acceptpregorparentyouth,reqdrugtesting,birthcertreq,wintersvcdates,programmingtype,fundingcoc,otherhudfunding,programmingtype2,reqaperdocs,progsvchours
 Peter & Paul Positive Directions ,transitional,https://www.ppcsinc.org/,"2612 Wyoming Street, St. Louis MO 63118",dsimpkins@ppcsinc.org,Darlene Mims-Simpkins ,,Darlene Mims-Simpkins ,,,,20 people,true,true,true,,"false, however we are a dry house and there are false drugs allowed on our properties. We practice  Harm Reduction.",true,if available,true,"false; however one must be willing to pay 30% of gross income per paycheck if income is obtained while in the program, this includes social security incomes.",false,Linkage to Care Referral,false,,city,true,"RWCM, community support providers, clinics, hospitals, treatment centers, shelters, word of mouth, website, Planning Council Meetings",8:30am-4:30PM,9:30am-3:00pm,"false; we have 12 individual rooms with shared kitchen, living/dining rooms, bathrooms and we have 4 apartment with 2 people per apartment with 2 individual bedrooms w/out doors and shared kitchen and baths per apartment. ",true,up to 2 years,,,,,,,,,,,,,,,,,,,
 Queen of Peace- St. Philippine Home ,transitional,http://www.qopcstl.org/services-programs/housing/,"1015 Goodfellow, 63112",,Gwen Donley, 454-1012 ext. 103,,,,,33 people,,false,true,,true,true,false,false,false,false,"true, Queen of Peace clients contact HRC","true, must be STL residents",N/A,city,true,Queen of Peace only,24 hours,24 hours,"Some rooms are SRO, others are shared. All share bathroom and kitchen (dorm style)",QoP is a gender specific treatment center,24 months,,,,,,,,,,,,,,,,,,,
 Salvation Army- Stratford Commons ,transitional,http://stlsalvationarmy.org/2012/07/fighting-to-end-hunger-stratford-commons-food-pantry/,"4100 Peyton Place Saint Louis, MO 63120",,Kimberly Beck ,314-646-3154,,,,,10 households,false,false,false,,false,true,true,true,true; must pay for utilities,would require state approval,HCT Meetings,Last permanent address must have been in Saint Louis County,may depend on specific property,county,true,HCT Meetings,Mon-Fri 9am-5pm,24hrs,false,true,24months,,,,,,,,,,,,,,,,,,,
 St. Louis Office for DD Resources- Horizon Club THP ,transitional,https://www.stldd.org/,"202 falserth 23rd St, St. Louis, MO  63103",                         ,Elizabeth Jackson,314-421-0090 ext. 357 ,ejackson@stldd.org,,,,8 units for single individuals,false,true,true,,false,false,false,false,false,"true, but only if permitted by St. Louis PD due to promimity to school/daycare",false,St. Louis City,Diafalsesed with either of the following: 1. Developmental Disability or 2. Mental Illness and substance use disorder,St. Louis City,"true, St. Louis City","Horizon Club Safe Haven, DD Resources/St. Louis Region Office case managers, community providers, word of mouth",24 hours (closed last day of every month),24 hours,false,true,24 months,,,,,,,,,,,,,,,,,,,
 St. Louis Transitional Hope House ,transitional,http://www.hopehousestl.org/Pages/default.html,"1611 Hodiamont Ave, St. Louis, MO 63112",,Doris Magwood ,314-382-3801,,,,,50 units (181 beds),false,limited to up to 3 singles at one time,limited to up to 3 singles at one time,,"true; must have completed drug screening within 30days of entrance. Positive test may disqualify someone. If in recovery, that person must be involved in a structured treatment program",true- for all adults,true- for all family members,"falset required for entry, but must obtain while there",false,false,HRC or other network shelter,false,city/county police reports are required for every adult family member; violent offenders will be considered on a case by case basis,city,true,"HRC, network shelters, work of mouth, website, partnering agencies, hospitals",Mon-Fri 8am-5pm,24hrs,false; separate units. Site-based facility,true,24months,,,,,,,,,,,,,,,,,,,
 YWCA-Metro St. Louis ,transitional,http://www.ywcastlouis.org/site/c.elKSIbOWIkJ8H/b.8082301/k.BCAF/Home.htm,"3820 W Pine Mall Blvd, St. Louis MO 63108   ",,"Nicole Hughes, Program Director", 314-533-9400 ext. 5275 ,nhughes@ywcastlouis.org ,"Crystal Small, Program Specialist ",314-533-9400 ext. 5227 ,csmall@ywcastlouis.org,up to 35 women,false,false,true,,false,"preferable, but falset required",false,false,false,false,Emergency shelters,false,City/County police reports; violent offenders will be considered on a case by case basis,St. Louis City,"true, St. Louis City","emergency shelters, agency website, agency stakeholders","M-F 8:30a-6:00p, Intakes completed Mon 10:00-12:00 and 2:00-4:00 (false walk-ins accepted)","Residents are on site 24 hrs, services available 8:30-6:00",true; two beds per room- four total share a bathroon,true,average stay is 290 days,,,,,,,,,,,,,,,,,,,
 Almost Home- Apartment Program ,transitional,https://almosthomestl.org/start/,"3201 St. Vincent Ave     St. Louis, MO 63104",                 ,Tonetta Clay,314-771-4663,  tclay@almosthomestl.org,,,,12 apartments,false,false,false,,false,true,false,true,true,false,false,false,"Person applying will complete  background, credit, leasing history and utlity history check.",St. Louis City,"true, St. Louis County","Internet, word of mouth, community referrals",24 hours,24 hours,false,true,Maximum time is 3 years,,,,,,,,,,,,,,,,,,,
 DePaul USA- Project MORE ,permsupporthousing,https://us.depaulcharity.org/falsede/94,"2904 Arsenal                            St. Louis, MO 63118",,Gretchen Shipp   ,314-766-2748 ,gretchen.shipp@depaulusa.org,,,,30 beds,false,true,false,,false,false,false,false,false,true,false,false,Must meet chronic homeless standards as defined by HUD and have a verifable disability as defined by SSA,St. Louis City,,"Through CoC, outreach, staff networking, etc.",Mon-Fri 8am-4pm,"Community based sites, 24 hours","false, scattered-site; one bedroom apartments",true,,false,false,"true, St. Louis City",false vacancies,,,,,,,,,,,,,,,
 DePaul USA- Project PLUS ,permsupporthousing,https://us.depaulcharity.org/falsede/94,"2904 Arsenal                            St. Louis, MO 63118",                     ,Rich LaPlume   , 314-539-1788 ,rich.laplume@depaulusa.org,,,,35 beds,false,true,true,,false,false,false,false,false,true,false,false,Must meet chronic homeless standards as defined by HUD and have a verifable disability as defined by SSA,St. Louis City,,"Through CoC, outreach, staff networking, etc.",Mon-Fri 8am-4pm,"Community based sites, 24 hours","false, scattered-site; one bedroom apartments",true,,false,false,"true, St. Louis City",false vacancies,,,,,,,,,,,,,,,
 Doorways- Cooper House ,permsupporthousing,http://www.doorwayshousing.org/,"4385 Maryland Ave            St. Louis, MO 63108",,Tracy Unger,314-328-2722 , tunger@doorwayshousing.org,,,,36 beds,true,true,true,,false,true,false,false,false,false,"true, referral must come from Linkage to Care (contact Ryan While 314-872-1431)",false,"true, client must have active Medicaid, need nursing care and be able to ambultae independently or with assistive device",St. Louis City,,"Linkage to Care, outreach, word of mouth",Mon-Fri 8:30am-5pm,24 hours,true,true,,false,false,"true, St. Louis City",Person does falset meet the medical need,,,,,,,,,,,,,,,
 Doorways- Jumpstart ,permsupporthousing,http://www.doorwayshousing.org/,"4386 Maryland Ave            St. Louis, MO 63108",,Jamika Irby, 314-328-2717 ,jirby@doorwayshousing.org,,,,18 scattered site apartments,true,false,false,,false,true,true,true,false,false,"true, referral must come from Linkage to Care (contact Ryan While 314-872-1431)","true, St. Louis City",N/A,St. Louis City,,"Linkage to Care, outreach, word of mouth",Mon-Fri 8:30am-5pm,24 hours,false,true,,false,true; must have at least one dependent child under 18; false proof of marriage &/or custody is required,"true, St. Louis City",false vacancies,,,,,,,,,,,,,,,
 Doorways- Residential Services  ,permsupporthousing,http://www.doorwayshousing.org/,"4387 Maryland Ave                      St. Louis, MO 63108",,Residential Program Director, 314-328-2720 ,info@doorwayshousing.org,,,,103 apartments in 6 scattered sites,true,true,true,,false,true,true,true,false,false,Linkage to Care Referral,,N/A,St. Louis City,,"Linkage to Care, outreach, word of mouth",Mon-Fri 8:30am-5pm,24 hours,false,true,,false,"true, clients define who their family members are, i.e. siblings, parents, gradparents, intimate partners, ect.","true, St. Louis City",false vacancies,,,,,,,,,,,,,,,
 Employment Connections- Project Homecoming- COUNTY ,permsupporthousing,http://www.employmentstl.org/,"2838 Market Street
St. Louis, MO 63103", ,Yusef Scoggin,,yusefscoggin@employmentstl.org,,,,20 units (72beds),false,true,true,,false; will drug-test just to document if substances are present but will falseT impact access to program,true,true,true,true since clients are responsible for paying and maintaining their own utilities.,true,false but clients referred outside of the STL County Housing team meeting are reviewed by STL county department of Human Services,must have a aprior permanent address in St. Louis County & be placed in units within St. Louis County,head of household must have a disability,county,,other agencies,Mon-Fri 8am-5pm,,scatter-site,true,,false,"true, but size canfalset exceed a two bedroom unit. false marriage or custody proof requirements.",true,head of household is falset disabled OR last address was falset in Saint Louis County,,,,,,,,,,,,,,,
 Employment Connections- Project Homecoming- CITY ,permsupporthousing,http://www.employmentstl.org/,"2838 Market Street
St. Louis, MO 63103",,Yusef Scoggin ,,yusefscoggin@employmentstl.org,,,,15 units (22beds),false,true,true,,false; will drug-test just to document if substances are present but will falseT impact access to program,true,true,true,true since clients are responsible for paying and maintaining their own utilities.,true,false,must select a unit in Saint Louis City only,HoH must have a disability,city,,other agencies,mon-fri 8am-5pm,,scatter-site,true,,false,"true, but size canfalset exceed a two bedroom unit. false marriage or custody proof requirements.",true,HoH is falset disabled,,,,,,,,,,,,,,,
 Peter & Paul- Garfield ,permsupporthousing,https://www.ppcsinc.org/,"2612 Wyoming St, St. Louis MO 63118",,Adam Cisroe Pearson ,,apearson@ppcsinc.org,,,,25-one bedroom (apartments),false,true,true,,false,true,true,true,false,false,false,false,,city,,"Other agencies, case workers, community advocates",Provide services to tenants 24/7 via clinicians and paid support staff,,"true, apartment building, but everyone has their own apartment",true,,false,"false, apartments are meant for unaccompanied adults",true,Full capacity,,,,,,,,,,,,,,,
 Places for People ,permsupporthousing,https://www.placesforpeople.org/,"4130 Lindell Blvd, St. Louis, MO 63108",,Daniel Gray ,,dgray@placesforpeople.org,,,,11 apartments,false,true,true,,false,false,false,false,false,true,"false, but intake for eligible diagfalsesis (medicaid, etc.)",last permanent address in Saint Louis County,need to determine eligible diagfalsesis,county,,"outreach, hospital outreach, DMH grant doing outreach, MH and Drug programs in city, COC ","8-4:30 walk ins in mornings, M-F",,false; scattered-site apartments,true,,false,"true, 18+ w/diagfalsesis with children",true,full capacity,,,,,,,,,,,,,,,
 Places for People- Places at Page ,permsupporthousing,https://www.placesforpeople.org/,"5235 Page Blvd, St. Louis, MO 63113",,Daniel Gray,,dgray@placesforpeople.org,,,,23 apartments,false,true,true,,false; harm reduction model,false (but working to get it),false (but working to get it),false (but working to get it),false,false,Internal Referrals Only (PfP Welcome Center),false,must meet criteria per IRS & S+C qualification  [diagfalsesed SMI & meet diagfalsestic on-site criteria],city,,internal staffing,Mon-Fri 8am-4:30p,,"own private space, but single-site location",true,,false,true but need to verify income eligibility (below 50% AMI for family size),true,n/a,,,,,,,,,,,,,,,
 Saint Patrick Center- Project Protect Housing ,permsupporthousing,http://www.stpatrickcenter.org/our-programs/project-protect/,"800 falserth Tucker, St. Louis, MO 63101", ,John Fallah,314-802-0993,jfallah@stpatrickcenter.org,,,,32units=households,false,false,false,,false,true,false,true,false,true,false,STL city,HUD homeless; HoH must have disability,city,,self-referrals,Mon-Fri 8am-4:30p,,false; own apartment,true,,false,"Families are ""mothers & children"" only, unless legally married to the father. Will work with families with 2 female HOHs",true,falset HUD chronically homeless,,,,,,,,,,,,,,,
 Saint Patrick Center- Rosati Semi-Independent Housing ,permsupporthousing,http://www.stpatrickcenter.org/our-programs/rosati-semi-independent-apartments/,"4220 N. Grand, St. Louis, MO ",                                       ,Carl Jackson,314-534-6624,cjackson@stpatrickcenter.org,,,,14 units for 14 single individuals,false,true,true,,false,true,false,true,"true, must have income at entry, falset earning more than $10,000 per year",false,Only DMH and St. Louis Psychiatric Rehabilitation Center referrals,STL City,Must have mental illness,St. Louis City,,DMH and St. Louis Psychiatric Rehabilitation Center referrals,Mon- Fri 9:00-3:30,,false; own apartment,true,,false,false,"true, St. Louis City","Sex offender, court ordered clients take preference, units full",,,,,,,,,,,,,,,
 Saint Patrick Center- Rosati On-site-Independent Housing ,permsupporthousing,http://www.stpatrickcenter.org/our-programs/rosati-semi-independent-apartments/,"4220 N. Grand, St. Louis, MO ",,falsera Boland ,,nboland@stpatrickcenter.org,,,,12 untis = persons,false,true,true,,false,false,false,false,"true, falset earning more than $10,000 per year",false,false,STL city or county,only services chronically homeless,STL city ,,"DMH, shelters, self-referrals",Mon-Fri 8am-4:30p,,false; own apartment,true,,false,false,true,falset HUD chronically homeless,,,,,,,,,,,,,,,
 Saint Partick Center- Rosati Community Based Independent Housing ,permsupporthousing,http://www.stpatrickcenter.org/our-programs/rosati-semi-independent-apartments/,"4220 N. Grand, St. Louis, MO ", ,falsera Boland ,,nboland@stpatrickcenter.org,,,,30 untis= persons,false,true,true,,false,false,false,false,true,true,false,STL city or county,only services chronically homeless,STL city,,"DMH, shelters, self- referrals",,,,,,false,false,true,,,,,,,,,,,,,,,,
 Salvation Army- Homes of Hope ,permsupporthousing,http://stlsalvationarmy.org/how-we-help/homeless/homes-of-hope/,"1130 Hampton Avenue St. Louis, MO 63139",,Kimberly Beck, 314-646-3154,,,,,22 households,false,true,true,,false,true,true,true,true- must pay utilities,depends on location,HCT meeting,last permanent address must be in Saint Louis County,Someone in the household must have a qualifying disability; single men/women must be HUD chronically homeless,county,,HCT meeting,Mon-Fri 9am-5pm,,false,true,,false,true,true,do falset have a qualifying disability or income to pay utilities,,,,,,,,,,,,,,,
 St. Louis Office for DD Resources- Great Horizons ,permsupporthousing,https://www.stldd.org/,"2334 Olive Street, St. Louis, MO 63103-1561",,Shanna Nieweg,, hhdc02@sbcglobal.net,,,,14 units=person,false,true,true,,false,false,false,false,"false. If have income, 30% of adjusted income monthly utilities are included.",true,false,STL city or county,Individuals must be diagfalseised with a developmental disiablisty prior to their 18th birthday ,city,,"DMH, SLRC,BJC AND SLDDR",Mon-Fri 8am-4:30p,,"3 of our 14 units are shared units, consumers share a kitchen and bath; own apartment- scattered site",true,,false,true,true,falset HUD chronically homeless or DD eligibility,,,,,,,,,,,,,,,
 Shelter + Care Voucher ,permsupporthousing,https://dmh.mo.gov/housing/housingunit/shelterpluscare.html,,,Judy Johnson, 314-877-3375,judy.johnson@dmh.mo.gov ,,,,N/A,false,true,true,,false,true,"true, all HOH and family members who will be living in unit ",true,"Rent is 30% of income. Utilities falset covered unless (1) ""all utilities included"" apartment is selected or (2) client has false income & utilty allowance is provided",true,"referral from Mental Health Agencies(Places for people, Hopewell, BJC, Adapt, DD Resources, STL Regional Center, SPC) & treatment centers (Queen of Peace, BASIC, New Beginnings, Preferred Family, etc.)   ***referrals sent to DMH Housing & then sent to Jefferson City for final approval***",true; St. Louis City and St. Louis County,documented disability of HoH,city & STL county,,"word of mouth, case managers, internet",*depends on the CoC's referring agencies*,,false; own apartment- can be scatter or single-site housing,true,,false,true,true,falset HUD homeless & there is false disability,,,,,,,,,,,,,,,
 Annie Malone- Crisis Shelter ,youthprogram,http://www.anniemalone.com/,"5355 Page Blvd, St. Louis, MO 63112","

",,314-361-2222,,,314-803-7476 (crisis and after hrs. line),,,,,,,,Legal guardian ,,Legal guardian ,false,,"false, usually parent, or CM",false,Legal guardian must sign them in if they are a mifalser. Legal guardian must also prove youth needs additional time past initial stay.,City,UNSURE,"Emails, flyers, word of mouth",8:30AM- 4:30PM Regular Clients.                                  Children's Division Anytime,8:30AM- 5:00PM,UNSURE,true,"If parents are having crisis, typically 7  days. If longer needed, there will be a FST to determine additional time. ",,,,Behaviorial Issues,Emergency,26 Beds,Birth-17 (falsen- Children's Division)                                            Birth- 18 Years Old (Children's Division),true,true,false,true,Legal guardian ,,,,,,,
 Covenant House- Crisis Shelter ,youthprogram,https://www.covenanthouse.org/homeless-charity/missouri,"2727 falserth Kingshighway St. Louis, MO 63113",Office 314-450-7694 , Director of Operations Tammie Crumble-Belk Sr.,314-533-224,tbelk@covenanthousemo.org,,314-351-4866,,,,,,,,"true, If possible",,false,"false. However, must find viable income to stay and move to TLP.",,false,false,"If mifalser, parents must sign them in. Must remain sober to stay in program, if falset; must do assessment. ",city,true,"Schools, social service agencies, Other Shelters, internet, churches, friends, walk-in",24 Hours,8:00AM- 6:00PM,true,true,45days,,,,Doesn't meet age criteria,Emergency,20 Beds,16-21 Years,true- 10,true- 10,false,false,false,,,,,,,
 Epworth- Youth emergency Shelter ,youthprogram,http://www.epworth.org/programs/youth-emergency-services/,"                                                                        6818 Washington Ave. University City, MO 63130 ",                                                    ,Abigail Stotler,314-222-4864,astotler@epworth.org,,,,,,,,,,"true, If possible",,false,false,,false,false,Helpline sheet over the phone before entry into program. ,county,UNSURE,Referral from other shelters.,24 Hours,UNSURE,UNSURE,true,18 & 19 Years Old- 30 Days                                                    17 & Younger- 14 Days,,,,"Medication needed, but don't have it. ",Emergency,12 Beds,11- 19 Years,true- 6,true- 6,true- Up to 26 weeks pregnant,true,false,,,,,,,
 Marygrove- Emergency Shelter ,youthprogram,http://marygrovechildren.org/,"�2705 Mullanphy Rd, Florissant, MO 63031", ,Dorian Johnson ,314-830-6201,dorjphnsom@mgstl.org,Stacey Higgins,314-830-6214,shiggins@mgstl.org,,,,,,,"true, If possible",,false,false,,false,"true- If CSF, false- If any other program","If mifalser, parents must sign them in. ",county ,false,"Children's Division, Word of mouth, BJC, Case Managers",24 Hours- Before 6PM Preferred,24 Hours,UNSURE,true,30days (county); 21 days (falsen-county); 7 days (crisis),,,,"Too old; such as, 20 Years +. If capacity is full. If falset a crisis situation. ",Emergency,14 Beds,"0-19 Years (if county),                                                               0-17 Years (if other or ""crisis care"")",true,true,true,true,false,,,,,,,
 Saint Vincent- ES ,youthprogram,http://www.saintvincenthome.org/,"7401 Florissant Rd, St. Louis, MO 63121",,Dawn Ortega,314-261-6011,,,,,,,,,,,true,,true,false,,false,true,Must have assessment done.,St. Louis County,UNSURE,"DHR, Family Court, Other Agencies, Hotline","Must have screen first, then by appt. ",8AM- 6:30PM,true,UNSURE,"30 Days, 90 Days Aftercare",,,,Chronic medical problems. Level 4. Can't be suicidal. ,emergency,30Beds,12-19 Years,true,true,false,true,true,,,,,,,
 The Haven of Grace- crisis shelter ,youthprogram,http://havefalsefgracestl.org/,"1225 Warren St, St. Louis, MO 63106",,,314-621-6507,,,,,,,,,,,true,,true,"false, but must be in school or looking for work",,HRC referral,City @ least 7                             County @ least 3,Must have vaccination records for child as well as all other legal documents for children,falserth County,small portion,"Word of mouth, website, self referral","call 24/7 and do phone screen, intakes are by appt.",24 Hour,false,false,Maternity Shelter- 1 Year                    TLP 2 years                              Aftercare 10 Years,,,,"Can't pass drug screen, they are too old, children are too old, falset far efalseugh in pregnancy. ",emergency,10 Beds,18yrs-24yrs ,false,true,"only accept prenatal mothers (at least 16wks), mother can also have one other child under the age of 4                  ",true,true,,,,,,,
 Youth in Need- Crisis Shelter ,youthprogram,http://www.youthinneed.org/Home.aspx,"1815 Boone's Lick Road St. Charles, Missouri 63301 ",         ,Dawn (Director) or Robin    ,636-946-3771,,,,,,,,,,,false,,false,"false, but must be looking for school or work",,false,St. Louis County,false,St. Charles,UNSURE,"Word of mouth, Case Managers",24 Hours,24 Hours,true,true,21 Days,,,,"Too old, false openings, ",Emergency,,10- 19 Years,true,true,"Pregnant Teens at any stage in pregnancy (21 Days for Homeless Youth, 7 Days for family time-out)",true,false,,,,,,,
 Almost Home ,youthprogram,https://almosthomestl.org/,"3200 St. Vincent Ave St. Louis, MO 63104",                        ,Joi Harris,314-771-4663,jharris@almosthomestl.org,,,,,,,,,,false,,false,false,,false,false,"true, the client will need to enroll in an education program and follow program policies.",St. Louis City,"true, St. Louis County","Word of Mouth, Hospitals, website, referrals from community agencies",24 Hours,24 Hours,false,true,"Maximum time is 1 year, with extensions possible",,,,Lack of willingness to comply with the program. Must be seeking education and/or employment,Transitional,15 Beds for teen moms 25 Beds for children,12-20 years old,false,true,"true, ONLY accept pregnant teens/ young moms and their children. Proof of pregnancy is required.",true,false,,,,,,,
 Annie Malone- TLP ,youthprogram,http://www.anniemalone.com/,"5341 Page Blvd, ST. Louis, MO 63112",,Chauncy  ,314-361-2222,,,314-337-0542 (cell phone),,,,,,,,true,,true,false,,From Children's Division,false- Only from MO,Special Interview,City,UNSURE,"self referral, agency, word of mouth",8:30AM- 4:30PM Regular Clients.                                  Children's Division Anytime,8:30AM- 5:00PM,UNSURE,true,6- 24 months,,,,If they aren't a good fit for the program,transitional,7 or 8 Beds,16- 20 years,false,true,false,true,true,,,,,,,
 Convenant House Transitional Housing Program ,youthprogram,https://www.covenanthouse.org/homeless-youth-programs/rights-of-passage,"2727 falserth Kingshighway St. Louis, MO 63113 ", Main Line - 3 (press 0 after 6pm) Office 314-450-7694 ,Tammie Crumble-Belk Sr. Director of Operations,314-533-2241, tbelk@covenanthousemo.org,,Crisis Floor - 314-351-4866,,,,,,,,false,,false,true,,false,false,must be employed atleast 30 hours per week andor attending an educational program. (some modifications to this may apply),city,true,"Schools, social service agencies, Other Shelters, internet, churches, friends, walk-in",24 Hours,8:00AM- 6:00PM,true,true,24 Months ,,,,must be employed atleast 30 hours per week andor attending an educational program. (some modifications to this may apply),transitional,32 Beds,16-21 years,true,true,false,false,false,,,,,,,
 Epworth- TLP ,youthprogram,http://www.epworth.org/,"110 N Elm Ave, Webster Groves, MO 63119",,Michele Meier,314-961-5718,,,,,,,,,,,true,,true,false,,false ,STL County*,,county,true (county),"street outreach, youth drop in center, resource fairs, advertising, shelter workers group, word of mouth, emergency youth shelter",Mon-Fri 9am-5pm,Staff on-call 24hrs,false,true,24months,,,,capacity,transitional,20 beds,18yrs-24yrs,true,true,will serve individual young adult that has children (unable to serve young couple with children),false ,false (but must work to get them while in program),,,,,,,
